archive,original_path,original_bytes,original_sha256,release_path,release_sha256,action,encoding
DE_final_project.zip,DE_final_project/RGB_YCbCr_v2(filtering)/BRAMCtrl.v,1525,a91d39918be1d1f784cb28e7594328b60999b5c4b667f17555e9bc3176a7c150,rtl/BRAMCtrl.v,a91d39918be1d1f784cb28e7594328b60999b5c4b667f17555e9bc3176a7c150,retained; UTF-8/LF normalization only,utf-8
DE_final_project.zip,DE_final_project/RGB_YCbCr_v2(filtering)/CIS_IF.v,2703,6519355df7824eb44bc83b870754acf620ee6c61034e5cedd56fe190aedad571,rtl/CIS_IF.v,269c5c09289b319be49369d56b2a535ae6e51a7091c58722f8701b8929d96d38,retained; UTF-8/LF normalization only,utf-8
DE_final_project.zip,DE_final_project/RGB_YCbCr_v2(filtering)/conv.v,3191,b70e9df3995d19fe01476e5ff230734a6bdb601dfb59f0934b49a809c73ab46d,rtl/conv.v,5ff02c4e40e9212e5414f9740db4c72479ca8ae84197d5b32658fe1920648958,retained; UTF-8/LF normalization only,utf-8
DE_final_project.zip,DE_final_project/RGB_YCbCr_v2(filtering)/filtering.v,2672,0734062b078dfa3b20a21e26f622714227e2bcc0c9541110581d4ae7f528b70a,rtl/filtering.v,540ac5e53bc446964643b547c5df34ed6c4320d86d1eebbd417dbe9fb6c21023,retained; UTF-8/LF normalization only,utf-8
DE_final_project.zip,DE_final_project/RGB_YCbCr_v2(filtering)/filtering_v1.cr.mti,6903,328c41a37f24dbed2d06a84588735a7ae1ad2c7434265eb731f2058190e8fd40,,,excluded: generated build/simulator/IDE artifact or historical output,
DE_final_project.zip,DE_final_project/RGB_YCbCr_v2(filtering)/filtering_v1.mpf,30710,b63f390f2604f7d1c0107819b38dafc4d80864a5731757c9daa97a3331c4cf68,,,excluded: historical IDE project metadata; setup facts documented separately,
DE_final_project.zip,DE_final_project/RGB_YCbCr_v2(filtering)/g2m.v,386,3c04d8f53e0cf53e2bf8f7163ca9e8e65ffe98b4852775db451028a747925473,rtl/g2m.v,0d9f0e58edd76959c66ff0903b29c3f5a0f7c07bb5e930c7312de110e3257676,retained; UTF-8/LF normalization only,cp949
DE_final_project.zip,DE_final_project/RGB_YCbCr_v2(filtering)/horizontal.v,2149,d61e18f12eb8cb6844d8ac788d1cb4b0cb7da0e5631053df6d3c537f8b0c6748,rtl/horizontal.v,f6b1475db4b1859ee0132f259c79dfcce20fd87551c04919be22442338f2d18b,retained; UTF-8/LF normalization only,utf-8
DE_final_project.zip,DE_final_project/RGB_YCbCr_v2(filtering)/I2C.ngc,34167,b21eaf761da871728a7f05d6a61d74f2e8632aaaef2f79a118ce0ca749e89025,,,excluded: compiled I2C netlist; source/license provenance not supplied,
DE_final_project.zip,DE_final_project/RGB_YCbCr_v2(filtering)/I2C.v,330,476ca9cfe72810a92539cba2e839313eacc74bc724a13e0b16147db21d9e793e,rtl/I2C.v,8a131f6566703124eefae042c9131c43f96bcea540885079f3f019b784209210,retained; UTF-8/LF normalization only,cp949
DE_final_project.zip,DE_final_project/RGB_YCbCr_v2(filtering)/i2cset.v,3486,0120ced7fae707bf88ef0c1f525ac8c8f3ab5e243cd796fc7fe9de212fcc1253,rtl/i2cset.v,6a53be8b5cbd65a0dec22a2a19032e9dcd62aa80e1f12f68c34c4e01f985780c,retained; UTF-8/LF normalization only,cp949
DE_final_project.zip,DE_final_project/RGB_YCbCr_v2(filtering)/i2c_top.v,851,77c81672648c934d98371c4e4f3bb0c678104488a28ac0975ba1eab51703ae5f,rtl/i2c_top.v,54a25f22cfbd8ffc9be37b95fd1bddc43e3ddcd532793bf3905257e7e82cf914,retained; UTF-8/LF normalization only,cp949
DE_final_project.zip,DE_final_project/RGB_YCbCr_v2(filtering)/line_ram.v,295,e56117cfc6b8fc34f71b31f877c22b960901502086ebc9ba2afc0f53362226b5,archive/memory_models/line_ram.v,2912efa2513ef01b506e992b03efbf244a328e8384d04d481ff2c21a227fa425,retained; UTF-8/LF normalization only,utf-8
DE_final_project.zip,DE_final_project/RGB_YCbCr_v2(filtering)/main_mem.v,290,913205e1286ecd619890ec48c3b46fe324451c0521814d8c701954d0cfc95965,archive/memory_models/main_mem.v,be420f6d0fc6e9a3f03e113c274becf5b71c8a6fa1f1dff3a1614a74e998e22e,retained; UTF-8/LF normalization only,utf-8
DE_final_project.zip,DE_final_project/RGB_YCbCr_v2(filtering)/packing.v,1873,0bfa9583378054a02a16e609ed4155069ba90384a1c578ddde55b182608114b9,rtl/packing.v,b729d6861b3160b8c21dd6d47314fb8f06b2e2a4d03530ba1bf1af97cfd3624f,retained; UTF-8/LF normalization only,utf-8
DE_final_project.zip,DE_final_project/RGB_YCbCr_v2(filtering)/packing_unpakcing.v,712,f3ba6e32176e533bcf789b1fc869842ee9e868661a75df3e33c3fd874a484243,rtl/packing_unpakcing.v,f3ba6e32176e533bcf789b1fc869842ee9e868661a75df3e33c3fd874a484243,retained; UTF-8/LF normalization only,utf-8
DE_final_project.zip,DE_final_project/RGB_YCbCr_v2(filtering)/R_2_Y.v,2307,55988e114ca6d55b784cc9feb57bb54edb3920448ee066adca8e498d84db49c4,rtl/R_2_Y.v,abf3e4f6c5bf90f7d5cb7c2ba22a93ca69f9921b3d3d3984121f5ce1602db1a8,retained; UTF-8/LF normalization only,utf-8
